Idex,Fitting_points_logistiska,MAPE_logistiska,Fitting_points_logistiska_mobilitet,MAPE_logistiska_mobilitet,Fitting_points_logistiska_tak,MAPE_logistiska_tak,Fitting_points_logistiska_mobilitet_tak,MAPE_logistiska_mobilitet_tak,Fitting_points_SIR_daily,MAPE_SIR_daily,Fitting_points_SIR_weekly,MAPE_SIR_weekly
0,21,24.67850734,21,25.1824805,21,111.3939218,21,100,21,40.21069003,6,35.78754121
1,22,41.92296479,22,42.19458364,22,80.90574895,22,100,22,39.77434779,7,26.79154467
2,23,47.92619616,23,48.40773764,23,62.40372135,23,62.40359183,23,23.44294834,8,21.59378873
3,24,46.89304838,24,46.89305555,24,56.49778377,24,56.49768727,24,10.50156616,9,5.304092289
4,25,43.52364553,25,43.52360153,25,53.67050954,25,53.67065535,25,17.30441874,10,7.997853775
5,26,41.93393562,26,41.93390091,26,48.88657018,26,48.88659386,26,6.964857164,11,10.61349095
6,27,38.61701561,27,38.61714062,27,46.29008596,27,46.29007549,27,12.82408991,12,13.0269214
7,28,37.39028155,28,37.39015052,28,42.52565836,28,42.52560352,28,17.44875263,13,13.52324676
8,29,37.73838169,29,37.73837127,29,38.02894401,29,38.02892446,29,11.8769428,14,8.418629233
9,30,36.57340448,30,36.57339433,30,34.9067928,30,34.90684229,30,12.10977143,15,5.008093306
10,31,35.85060357,31,35.85062285,31,31.85234046,31,31.85236323,31,7.030984718,16,6.091610757
11,32,31.03578883,32,31.03590354,32,31.85315583,32,31.8531522,32,2.519730417,17,6.515225229
12,33,29.22285536,33,29.22289014,33,30.24383126,33,30.24382175,33,13.09844805,18,6.800465494
13,34,31.01676613,34,31.01679136,34,26.80614072,34,26.80610715,34,14.86129045,19,2.313488242
14,35,32.65926141,35,32.65925012,35,23.38806909,35,23.38800622,35,7.929705452,20,9.984067954
15,36,31.82305688,36,31.82304235,36,21.56418425,36,21.56417011,36,5.062754069,,
16,37,30.3805265,37,30.38049419,37,20.22654888,37,20.22654095,37,11.82360553,,
17,38,25.41807892,38,25.41804141,38,20.73882389,38,20.73880179,38,15.20071537,,
18,39,20.41360373,39,20.41344137,39,21.3858824,39,21.38587384,39,15.34412495,,
19,40,11.3436514,40,11.34358147,40,23.35876585,40,23.35876198,40,20.5204614,,
20,41,7.405292587,41,7.405220543,41,24.25498598,41,24.25498387,41,16.92563435,,
21,42,7.03555851,42,7.035725301,42,24.47558304,42,24.47559912,42,4.884320445,,
22,43,8.031107019,43,8.031034614,43,24.09174449,43,24.09174509,43,2.999261444,,
23,44,10.97798096,44,10.97789889,44,22.59895977,44,22.5989577,44,3.581350577,,
24,45,13.87405339,45,13.8739783,45,20.92594883,45,20.92594743,45,3.625247311,,
25,46,16.2079168,46,16.20793595,46,19.28367021,46,16.84487823,46,4.848273054,,
26,47,17.2779196,47,17.27796435,47,18.03751228,47,11.9293067,47,8.44605557,,
27,48,16.99671979,48,16.99674419,48,17.33266731,48,9.03757373,48,5.815246866,,
28,49,17.64323276,49,17.64323537,49,16.27337743,49,5.807739837,49,5.874017462,,
29,50,18.44440337,50,18.44440782,50,15.18247137,50,2.959305795,50,10.6253129,,
30,51,16.57407121,51,16.28144796,51,15.21507726,51,3.135579067,51,13.57130557,,
31,52,15.32978971,52,14.46711388,52,15.10445298,52,3.09826678,52,13.39628148,,
32,53,14.61028069,53,13.45718991,53,14.8429364,53,2.985996652,53,14.25769567,,
33,54,13.19222656,54,11.71132857,54,14.89289175,54,3.552996208,54,17.51111409,,
34,55,11.85409098,55,10.09043882,55,14.97007767,55,4.183794832,55,21.16966733,,
35,56,10.22118011,56,8.14450227,56,15.23010338,56,5.113688405,56,15.55135163,,
36,57,9.211940822,57,6.879588776,57,15.3784628,57,5.726385488,57,14.92012241,,
37,58,8.238859669,58,5.618974128,58,15.54964863,58,6.333985948,58,23.92033981,,
38,59,7.101321158,59,4.121165698,59,15.80047828,59,7.066978626,59,21.56411858,,
39,60,6.42510794,60,3.161848998,60,15.93129321,60,7.51321995,60,19.67778099,,
40,61,5.798451888,61,2.23927242,61,16.05497858,61,7.946660824,61,20.97248074,,
41,62,5.288248914,62,1.451766446,62,16.13648348,62,8.317073872,62,21.52697002,,
42,63,4.965746744,63,0.988899194,63,16.18239894,63,8.599723124,63,15.59457551,,
43,64,5.164022498,64,1.201176256,64,16.06626198,64,8.575471982,64,16.26230575,,
44,65,5.320720418,65,1.424626347,65,15.93172242,65,8.573890559,65,21.7197848,,
45,66,4.950098068,66,1.145365518,66,15.96140139,66,8.910808197,66,21.20086202,,
46,67,4.59465506,67,1.229969798,67,15.96542786,67,9.227002911,67,21.68095533,,
47,68,4.229280845,68,1.394701495,68,15.96516011,68,9.541417653,68,21.19366301,,
48,69,4.09927016,69,1.589439981,69,15.86455116,69,9.69619654,69,20.64134563,,
49,70,4.047592793,70,1.862724188,70,15.70566,70,9.779123461,70,19.85775852,,
50,71,4.388556482,71,2.085812631,71,15.413961,71,9.632694003,71,16.87904473,,
51,72,4.872022329,72,2.51474047,72,15.02892929,72,9.358992158,72,19.55859421,,
52,73,5.54083317,73,3.195022803,73,14.51657199,73,8.911905336,73,15.86512389,,
53,74,6.053635247,74,3.837417077,74,14.05156251,74,8.536722193,74,14.64698174,,
54,75,6.565442578,75,4.501332991,75,13.56389043,75,8.128697863,75,13.81215681,,
55,76,7.002382043,76,5.096861293,76,13.08995728,76,7.736752329,76,11.71859312,,
56,77,7.530896678,77,5.780869632,77,12.57012528,77,7.26478121,77,9.883444371,,
57,78,8.206537166,78,6.609838154,78,11.96848328,78,6.66876157,78,10.87481701,,
58,79,8.802373873,79,7.324113354,79,11.37209925,79,6.107102224,79,2.51924267,,
59,80,9.307004748,80,7.884183042,80,10.79251886,80,5.593163197,80,20.54561133,,
60,81,9.743794093,81,8.332854452,81,10.23517981,81,5.123855874,81,9.250490219,,
61,82,10.11171853,82,8.67366009,82,9.6929832,82,4.694158894,82,6.890071543,,
62,83,10.39202884,83,8.882842871,83,9.168137919,83,4.310831087,83,11.15536682,,
63,84,10.72342925,84,9.164655911,84,8.622350817,84,3.902155008,84,6.557925996,,
64,85,11.10002558,85,9.505232702,85,8.051517429,85,3.466922974,85,8.331911295,,
65,86,11.41002843,86,9.753250156,86,7.505384314,86,3.06690243,86,8.365102398,,
66,87,11.6875602,87,9.953008992,87,6.961824126,87,2.675406168,87,11.15115968,,
67,88,11.86951647,88,10.01579101,88,6.454071627,88,2.333655141,88,11.0984026,,
68,89,12.00685667,89,10.01716073,89,5.965746442,89,2.014675149,89,8.351136949,,
69,90,12.06316409,90,9.907300316,90,5.522410669,90,1.746281032,90,12.51738841,,
70,91,12.02939976,91,9.663850598,91,5.117656485,91,1.523600682,91,11.05677039,,
71,92,12.08629675,92,9.56622903,92,4.668059523,92,1.253947473,92,11.6582412,,
72,93,12.05300601,93,9.349153277,93,4.2807852,93,1.078844932,93,12.03766712,,
73,94,11.94111465,94,9.018240748,94,3.934582863,94,0.961953411,94,9.747532556,,
74,95,11.88893521,95,8.789530186,95,3.556555512,95,0.876278885,95,3.322319604,,
75,96,11.8388261,96,8.577350388,96,3.182391058,96,0.830880376,96,12.19699779,,
76,97,11.80236501,97,8.401039273,97,2.822450839,97,0.813378293,97,11.70975123,,
77,98,11.80122617,98,8.303977209,98,2.466026445,98,0.790158076,98,11.1587674,,
78,99,11.82187501,99,8.251718021,99,2.15449819,99,0.790006685,99,14.54791333,,
79,100,11.80671693,100,8.135906013,100,1.89477627,100,0.819628408,100,11.92179759,,
80,101,11.77719592,101,7.979067548,101,1.708116448,101,0.899081947,101,11.36196194,,
81,102,11.7618732,102,7.835446987,102,1.555303542,102,0.993526576,102,13.28707984,,
82,103,11.71522674,103,7.627216535,103,1.452010674,103,1.1136042,103,12.88542243,,
83,104,11.59091899,104,7.278362888,104,1.409923944,104,1.213538529,104,13.77527302,,
84,105,11.49512206,105,6.961684999,105,1.374583295,105,1.307797855,105,12.29971925,,
85,106,11.40269531,106,6.633047695,106,1.355205397,106,1.385688434,106,13.7133214,,
86,107,11.30164793,107,6.308794965,107,1.372689039,107,1.509685656,107,13.13303523,,
87,108,11.1492418,108,5.930235687,108,1.424712967,108,1.647774711,108,13.61025164,,
88,109,10.95014492,109,5.514761681,109,1.513003074,109,1.8008533,109,12.40771787,,
89,110,10.73618477,110,5.141303028,110,1.626062792,110,1.980913826,110,17.25599671,,
90,111,10.53948585,111,4.890292157,111,1.756943709,111,2.202197698,111,17.93974524,,
91,112,10.29235591,112,4.644183507,112,1.903567443,112,2.420529926,112,15.70327141,,
92,113,10.0290202,113,4.464495048,113,2.074902207,113,2.658733026,113,15.04671556,,
93,114,9.834441364,114,4.437251708,114,2.243434154,114,2.912154708,114,14.536934,,
94,115,9.63848879,115,4.4061793,115,2.431931932,115,3.150142824,115,18.13859231,,
95,116,9.409709354,116,4.316608595,116,2.611931487,116,3.357650294,116,16.66696574,,
96,117,9.18525614,117,4.234696627,117,2.78716219,117,3.55222521,117,22.55902522,,
97,118,8.960408313,118,4.151362653,118,2.954278006,118,3.73120659,118,19.06454897,,
98,119,8.772341392,119,4.123678677,119,3.12615174,119,3.908826039,119,19.03010523,,
99,120,8.568453508,120,4.063833051,120,3.282236113,120,4.063868458,120,18.10083526,,
100,121,8.368059566,121,4.02514119,121,3.433045605,121,4.025137345,121,18.82384677,,
101,122,8.111115169,122,3.918874506,122,3.552578675,122,3.918913527,122,18.34067423,,
102,123,7.857260896,123,3.83367518,123,3.666746521,123,3.833625943,123,20.34474249,,
103,124,7.602878914,124,3.760128706,124,3.777774391,124,3.760077754,124,23.0156948,,
104,125,7.346559338,125,3.69810743,125,3.87995997,125,3.698110806,125,19.71223139,,
105,126,7.111153683,126,3.675918154,126,3.983515005,126,3.675905284,126,20.03765179,,
106,127,6.891562372,127,3.68382016,127,4.084990698,127,3.683813828,127,20.69953888,,
107,128,6.654884246,128,3.626822207,128,4.170319829,128,3.626823278,128,19.78620465,,
108,129,6.442885564,129,3.557891036,129,4.264919584,129,3.557900988,129,20.61562555,,
109,130,6.240457318,130,3.46039018,130,4.359057184,130,3.460412199,130,20.6594116,,
,131,6.040468749,131,3.327465063,131,4.446497689,131,3.327456354,,,,
